% Lao word list with break points
% !! = armageddon (7500)
% ! = nuclear (5000)
% ~ = emergency (1000)
% ~~ = discouraged (100)
% ~~~ = neutral (0)
% ~~~~ = encouraged (-200)
% ~~~~~ = excellent (-400)
% ~~~~~~ = superb (-1000)
% ~S~ = \hspace{0.4em plus 0.2em minus 0.1em}\allowbreak

ກກ| ກກ %
ທະຫານ| ທະຫານ %
ທະເຍີທະຍານ| ທະເຍີ~~ທະຍານ %
ທະເລ| ທະເລ %
ທະເລາະ| ທະເລາະ %
ທະເລາະວິວາດ| ທະເລາະ~~ວິວາດ %
ທັກ| ທັກ %
ທັກທາຍ| ທັກ~~ທາຍ %
ທັກທ້ວງ| ທັກ~ທ້ວງ %
ທັກສະ| ທັກສະ %
ທັງ| ທັງ %
ທັງປວງ| ທັງ~ປວງ %
ທັງມວນ| ທັງ~ມວນ %
ທັງສິ້ນ| ທັງ~ສິ້ນ %
ທັງຫຼາຍ| ທັງ~ຫຼາຍ %
ທັງໝົດ| ທັງ~ໝົດ %
ທັດສະນະ| ທັດສະນະ %
ທັນ| ທັນ %
ທັນທີ| ທັນ~ທີ %
ທັນວາ| ທັນວາ %
ທັນໃດ| ທັນ~ໃດ %
ທັບ| ທັບ %
ທັບຊ້ອນ| ທັບ~~ຊ້ອນ %
ທັບຖົມ| ທັບ~~ຖົມ %
ທາງ| ທາງ %
ທາງການ| ທາງ~ການ %
ທາຍາດ| ທາຍາດ %
ທາດ| ທາດ %
ທາດແທ້| ທາດ~ແທ້ %
ທານ| ທານ %
ທາລຸນ| ທາ!ລຸນ %
ທາລຸນນະກຳ| ທາລຸນນະກຳ %
ທຳ| ທຳ %
ທຳທ່າ| ທຳ~ທ່າ %
ທຳນວາຍ| ທຳນວາຍ %
ທຳນອງ| ທຳນອງ %
ທຳນຽມ| ທຳນຽມ %
ທຳບຸນສຸນທານ| ທຳ~~ບຸນ~ສຸນທານ %
ທຳມະ| ທຳມະ %
ທຳມະຈານ| ທຳມະຈານ %
ທຳມະຊາດ| ທຳມະຊາດ %
ທຳມະດາ| ທຳມະດາ %
ທຳມະທຳໂມ| ທຳມະ~~ທຳໂມ %
ທຳມະນູນ| ທຳມະນູນ %
ທຳມະບັນຍັດ| ທຳມະ­ບັນຍັດ % soft-hyphen
ທຳມະບັນດິດ| ທຳມະ­ບັນດິດ % soft-hyphen
ທຳມາດ| ທຳມາດ %
ທຳລາຍ| ທຳລາຍ %
ທຳອິດ| ທຳອິດ %
ທຳຮ້າຍ| ທຳຮ້າຍ %
ທິດ| ທິດ %
ທິດສະດີ| ທິດສະດີ %
ທິດາ| ທິດາ %
ທິບ| ທິບ %
ທີ| ທີ %
ທີມງານ| ທີມ~~ງານ %
ທີ່| ທີ່ %
ທີ່ຈະ| ທີ່~ຈະ %
ທີ່ຕັ້ງ| ທີ່~ຕັ້ງ %
ທີ່ຕິດ| ທີ່~ຕິດ %
ທີ່ນັ່ງ| ທີ່~ນັ່ງ %
ທີ່ນັ້ນ| ທີ່~ນັ້ນ %
ທີ່ນີ້| ທີ່~ນີ້ %
ທີ່ປຶກສາ| ທີ່~~ປຶກສາ %
ທີ່ສຸດ| ທີ່~ສຸດ %
ທີ່ຮາບພຽງ| ທີ່~ຮາບ~~ພຽງ %
ທີ່ເພິ່ງ| ທີ່~ເພິ່ງ %
ທຶນ| ທຶນ %
ທຶນຮອນ| ທຶນ~~ຮອນ %
ທຸກ| ທຸກ %
ທຸກຂະ| ທຸກຂະ %
ທຸກຂະເວດທະນາ| ທຸກຂະ­ເວດທະ­ນາ %  soft-hyphen
ທຸກຍາກ| ທຸກ~ຍາກ %
ທຸກຍາກລຳບາກ| ທຸກ~ຍາກ~~ລຳ!ບາກ %
ທຸກທໍລະມານ| ທຸກ­ທໍລະມານ % soft-hyphen
ທຸກລະທົມ| ທຸກລະທົມ %
ທຸກຮ້ອນ| ທຸກ~ຮ້ອນ %
ທຸກເວດທະນາ| ທຸກ­ເວດທະ­ນາ % soft-hyphen
ທຸກໂສກ| ທຸກ~ໂສກ %
ທຸກໃຈ| ທຸກ~ໃຈ %
ທຸງ| ທຸງ %
ທຸງໄຊ| ທຸງ~ໄຊ %
ທຸບ| ທຸບ %
ທຸລະ| ທຸລະ %
ທຸລີ| ທຸລີ %
ທຸລົນທຸລາຍ| ທຸລົນ~~ທຸລາຍ %
ທຸ່ງ| ທຸ່ງ %
ທຸ່ນທ່ຽງ| ທຸ່ນ~~ທ່ຽງ %
ທຸ້ມເທ| ທຸ້ມ~ເທ %
ທູດ| ທູດ %
ທູດສະຫວັນ| ທູດ~ສະຫວັນ %
ທູນ| ທູນ %
ທົດ| ທົດ %
ທົດລອງ| ທົດລອງ %
ທົດສອບ| ທົດສອບ %
ທົດແທນ| ທົດແທນ %
ທົນ| ທົນ %
ທົບທວນ| ທົບທວນ %
ທົ່ງ| ທົ່ງ %
ທົ່ງພຽງ| ທົ່ງ~ພຽງ %
ທົ່ງຫຍ້າ| ທົ່ງ~~ຫຍ້າ %
ທົ່ວ| ທົ່ວ %
ທົ່ວໄປ| ທົ່ວ~ໄປ %
ທຽນ| ທຽນ %
ທຽບ| ທຽບ %
ທຽມ| ທຽມ %
ທຽມເທັດ| ທຽມ~ເທັດ %
ທຽວ| ທຽວ %
ທ່ວງທຳນອງ| ທ່ວງ~~ທຳນອງ %
ທ່ອງ| ທ່ອງ %
ທ່ອງຈຳ| ທ່ອງ~ຈຳ %
ທ່ອນ| ທ່ອນ %
ທ່າ| ທ່າ %
ທ່າທາງ| ທ່າ~ທາງ %
ທ່າທີ| ທ່າທີ %
ທ່ານ| ທ່ານ %
ທ່າມກາງ| ທ່າມ~ກາງ %
ທ່າເຮືອ| ທ່າ~~ເຮືອ %
ທ່ຽງ| ທ່ຽງ %
ທ່ຽງຄືນ| ທ່ຽງ~ຄືນ %
ທ່ຽງເວັນ| ທ່ຽງ~ເວັນ %
ທ່ຽວ| ທ່ຽວ %
ທ້ວງ| ທ້ວງ %
ທ້ອງ| ທ້ອງ %
ທ້ອງຖິ່ນ| ທ້ອງ~~ຖິ່ນ %
ທ້າຍ| ທ້າຍ %
ທ້າທາຍ| ທ້າ~~ທາຍ %
ທ້າວ| ທ້າວ %
ທໍນາໂດ| ທໍນາໂດ % tornado
ທໍລະຍົດ| ທໍລະຍົດ %
ທໍລະນີສາດ| ທໍລະນີສາດ %
ທໍລະນົງ| ທໍລະນົງ %
ທໍລະມານ| ທໍລະມານ %
ທໍ່| ທໍ່ %
ທໍ້| ທໍ້ %
ທໍ້ຖອຍ| ທໍ້~~ຖອຍ %
ນວດ| ນວດ %
ນວດເຂົ້າ| ນວດ~~ເຂົ້າ %
ນອກ| ນອກ %
ນອກຈາກ| ນອກ~ຈາກ %
ນອກຮີດ| ນອກ~ຮີດ %
ນອງເລືອດ| ນອງ~~ເລືອດ %
ນອນ| ນອນ %
ນອບນ້ອມ| ນອບ~~ນ້ອມ %
ນະຄອນ| ນະຄອນ %
ນະມັດສະການ| ນະມັດ­ສະການ % soft-hyphen
ນະຣົກ| ນະຣົກ %
ນະໂຍບາຍ| ນະໂຍ­ບາຍ % soft-hyphen
ນັກ| ນັກ %
ນັກກະວີ| ນັກ~ກະວີ %
ນັກບວດ| ນັກ~ບວດ %
ນັກບຸນ| ນັກ~ບຸນ %
ນັກປະຕິຮູບ| ນັກ~~ປະຕິ­ຮູບ % soft-hyphen
ນັກປາດ| ນັກ~~ປາດ %
ນັກວິຈານ| ນັກ~~ວິຈານ %
ນັກສືບ| ນັກ~~ສືບ %
ນັກຮົບ| ນັກ~ຮົບ %
ນັກຮຽນ| ນັກ~~ຮຽນ %
ນັກເທດ| ນັກ~ເທດ %
ນັກເລງ| ນັກເລງ %
ນັດ| ນັດ %
ນັບ| ນັບ %
ນັບຖື| ນັບຖື %
ນັ່ງ| ນັ່ງ %
ນັ້ນ| ນັ້ນ %
ນັ້ນຄື| ນັ້ນ~ຄື %
ນັ້ນເອງ| ນັ້ນ~ເອງ %
ນາ| ນາ %
ນາງ| ນາງ %
ນາງຣຸດ| ນາງ~ຣຸດ %
ນາຊາເຣັດ| ນາຊາເຣັດ % name
ນາຍ| ນາຍ %
ນາຍຄູ| ນາຍຄູ %
ນາຍພັນ| ນາຍ~ພັນ %
ນາຍພານ| ນາຍ~~ພານ %
ນາຍພົນ| ນາຍ~ພົນ %
ນາຍຮ້ອຍ| ນາຍ~ຮ້ອຍ %
ນານ| ນານ %
ນາມ| ນາມ %
ນາມຊື່| ນາມ~ຊື່ %
ນາມມະຍົດ| ນາມມະຍົດ %
ນາຣາກັນເສັດ| ນາຣາ­ກັນເສັດ % name soft-hyphen
ນາຮູມ| ນາ!!ຮູມ % name
ນຳ| ນຳ %
ນຳພາ| ນຳ~ພາ %
ນຳໃຊ້| ນຳ~ໃຊ້ %
ນິກາຍ| ນິກາຍ %
ນິຄົມ| ນິຄົມ %
ນິຍາຍ| ນິຍາຍ %
ນິຍາມ| ນິຍາມ %
ນິຍົມ| ນິຍົມ %
ນິຍົມຊົມຊອບ| ນິຍົມ~~ຊົມ~ຊອບ %
ນິຍົມຊົມເຊີຍ| ນິຍົມ~~ຊົມ~~ເຊີຍ %
ນິດ| ນິດ %
ນິຕິບັນຍັດ| ນິຕິ­ບັນຍັດ %  soft-hyphen
ນິຕິພາວະ| ນິຕິ!ພາວະ %
ນິທານ| ນິທານ %
ນິນ| ນິນ %
ນິມິດ| ນິມິດ %
ນິຣະມິດ| ນິຣະມິດ %
ນິຣັນ| ນິຣັນ %
ນິຣັນດອນ| ນິຣັນດອນ %
ນິວອິງແລນ| ນິວອິງແລນ % name
ນິໄສ| ນິໄສ %
ນິ້ງ| ນິ້ງ %
ນິ້ມນວນ| ນິ້ມ~~ນວນ %
ນິ້ວ| ນິ້ວ %
ນີເນເວ| ນີເນເວ % Ninneveh
ນີ້| ນີ້ %
ນີ້ແຫຼະ| ນີ້!!ແຫຼະ %
ນຶກ| ນຶກ %
ນຶກຄິດ| ນຶກ~ຄິດ %
ນຸ່ງ| ນຸ່ງ %
ນຸ່ງຫົ່ມ| ນຸ່ງ~~ຫົ່ມ %
ນຸ່ງຮົ່ມ| ນຸ່ງ~ຮົ່ມ %
ນຸ້ມ| ນຸ້ມ %
ນຸ້ມນວນ| ນຸ້ມ~~ນວນ %
ນົກ| ນົກ %
ນົກກາ| ນົກ~ກາ %
ນົບ| ນົບ %
ນົມ| ນົມ %
ນຽວ| ນຽວ %
ນ້ອງ| ນ້ອງ %
ນ້ອຍ| ນ້ອຍ %
ນ້ອຍນິດ| ນ້ອຍ~~ນິດ %
ນ້ອມ| ນ້ອມ %
ນ້າວ| ນ້າວ %
ນ້ຳ| ນ້ຳ %
ນ້ຳຕາ| ນ້ຳ~~ຕາ %
ນ້ຳຖ້ວມ| ນ້ຳ~~ຖ້ວມ %
ນ້ຳນອງ| ນ້ຳ~~ນອງ %
ນ້ຳພຣະໄທ| ນ້ຳ~~ພຣະໄທ %
ນ້ຳພຸ| ນ້ຳ~~ພຸ %
ນ້ຳລາຍ| ນ້ຳ~~ລາຍ %
ນ້ຳສຽງ| ນ້ຳ~ສຽງ %
ນ້ຳໜັກ| ນ້ຳ~~ໜັກ %
ນໍ| ນໍ %
ບຣາວ| ບຣາວ %
ບວກ| ບວກ %
ບວດ| ບວດ %
ບວມ| ບວມ %
ບວມຊ້ຳ| ບວມ~~ຊ້ຳ %
ບອກ| ບອກ %
ບອດ| ບອດ %
ບັງ| ບັງ %
ບັງຄັບ| ບັງຄັບ %
ບັງຕາ| ບັງຕາ %
ບັງເກີດ| ບັງເກີດ %
ບັງເອີນ| ບັງເອີນ %
ບັງໜ້າ| ບັງ!ໜ້າ %
ບັດ| ບັດ %
ບັດນີ້| ບັດ~ນີ້ %
ບັນຈຸ| ບັນຈຸ %
ບັນຈົງ| ບັນຈົງ %
ບັນຊາ| ບັນຊາ %
ບັນຊີ| ບັນຊີ %
ບັນຍັດ| ບັນຍັດ %
ບັນຍາກາດ| ບັນຍາກາດ %
ບັນຍາຍ| ບັນຍາຍ %
ບັນດາ| ບັນດາ %
ບັນດານ| ບັນດານ %
ບັນດິດ| ບັນດິດ %
ບັນທອນ| ບັນທອນ %
ບັນທັດ| ບັນທັດ %
ບັນທັດຖານ| ບັນທັດຖານ %
ບັນທຶກ| ບັນທຶກ %
ບັນທຸກ| ບັນທຸກ %
ບັນນາການ| ບັນນາການ %
ບັນພະຊົນ| ບັນພະຊົນ %
ບັນພະບຸລຸດ| ບັນພະ­ບຸລຸດ % soft-hyphen
ບັນລະຍາຍ| ບັນລະຍາຍ %
ບັນລັງ| ບັນລັງ %
ບັນລຸ| ບັນລຸ %
ບັນຫາ| ບັນຫາ %
ບັນເທີງ| ບັນເທີງ %
ບັນເທົາ| ບັນເທົາ %
ບັນເລງ| ບັນເລງ %
ບັບຕິສະມາ| ບັບຕິສະມາ % Baptism
ບັບຕິສໂຕ| ບັບຕິສໂຕ %
ບັ້ນປາຍ| ບັ້ນ~~ປາຍ %
ບາກບັ່ນ| ບາກ~ບັ່ນ %
ບາງ| ບາງ %
ບາງຄົນ| ບາງ~~~ຄົນ %
ບາດ| ບາດ %
ບາດຫຼວງ| ບາດ~ຫຼວງ %
ບາດແຜ| ບາດ~ແຜ %
ບາດໝາງ| ບາດ~ໝາງ %
ບານ| ບານ %
ບານຄຣອບ| ບານຄຣອບ % name
ບານພັບ| ບານ~ພັບ %
ບານັສ\cs{}ເຊຍ| ບານັສ\cs{}ເຊຍ % Barnas Sears (GC05)
ບາບ| ບາບ %
ບາບີໂລນ| ບາບີໂລນ % name
ບາຣະໂທໂລມາຍ| ບາຣະ­ໂທ­ໂລມາຍ % name soft-hyphen
ບາລະມີ| ບາລະມີ %
ບາລາອາມ| ບາລາອາມ %
ບາອານ| ບາອານ %
ບາເບນ| ບາເບນ % Babel
ບຳບັດ| ບຳບັດ %
ບຳລຸງ| ບຳລຸງ %
ບຳລຸງອູ້ມຊູ| ບຳລຸງ~~~ອູ້ມ~ຊູ %
ບຳເລີ| ບຳເລີ %
ບຳເໜັດ| ບຳເໜັດ %
ບຳເໜັດລາງວັນ| ບຳເໜັດ~~ລາງວັນ %
ບິດຕົວ| ບິດ~~ຕົວ %
ບິດບ້ຽວ| ບິດ~ບ້ຽວ %
ບິດາ| ບິດາ %
ບິດເບືອນ| ບິດເບືອນ %
ບິນ| ບິນ %
ບິນທະບາດ| ບິນທະບາດ %
ບີບ| ບີບ %
ບີບຄັ້ນ| ບີບ~ຄັ້ນ %
ບີບບັງຄັບ| ບີບ~ບັງ!ຄັບ %
ບີບຮັດ| ບີບ~ຮັດ %
ບີ້| ບີ້ %
ບຶງ| ບຶງ %
ບຶ້ງ| ບຶ້ງ %
ບຸກ| ບຸກ %
ບຸກຄະລິກ| ບຸກຄະລິກ %
ບຸກຄົນ| ບຸກຄົນ %
ບຸກຢຶດ| ບຸກ!ຢຶດ %
ບຸກເບີກ| ບຸກເບີກ %
ບຸດ| ບຸດ %
ບຸດຕີ| ບຸດ!ຕີ %
ບຸນ| ບຸນ %
ບຸນກຸສົນ| ບຸນ~ກຸສົນ %
ບຸນຄຸນ| ບຸນຄຸນ %
ບຸລຸດ| ບຸລຸດ %
ບູຊາ| ບູຊາ %
ບູຊາຍັນ| ບູຊາຍັນ %
ບູດ| ບູດ %
ບູດເນົ່າ| ບູດ~ເນົ່າ %
ບູລະນະ| ບູລະນະ %
ບູຮານ| ບູຮານ %
ບົກ| ບົກ %
ບົກຜ່ອງ| ບົກຜ່ອງ %
ບົດ| ບົດ %
ບົດບັງ| ບົດ~ບັງ %
ບົດບັນຍັດ| ບົດ~ບັນ!ຍັດ %
ບົດບີ້| ບົດ~ບີ້ %
ບົດຮຽນ| ບົດ~~ຮຽນ %
ບົນ| ບົນ %
ບົວລະບັດ| ບົວລະບັດ %
ບົ່ງບອກ| ບົ່ງ~ບອກ %
ບົ່ມນິໄສ| ບົ່ມ~ນິໄສ %
ບຽດ| ບຽດ %
ບຽດບຽນ| ບຽດ~ບຽນ %
ບຽນ| ບຽນ %
ບ່ວງແຮ້ວ| ບ່ວງ~~ແຮ້ວ %
ບ່ອນ| ບ່ອນ %
ບ່າ| ບ່າ %
ບ່າວ| ບ່າວ %
ບ້າ| ບ້າ %
ບ້ານ| ບ້ານ %
ບ້ານຊ່ອງ| ບ້ານ~ຊ່ອງ %
ບ້ານເມືອງ| ບ້ານ~~ເມືອງ %
ບ້ານເຮືອນ| ບ້ານ~~ເຮືອນ %
ບໍ| ບໍ %
ບໍຣິບູນ| ບໍຣິບູນ %
ບໍຣິສຸດ| ບໍຣິສຸດ %
ບໍລິຈາກ| ບໍລິຈາກ %
ບໍລິວານ| ບໍລິວານ %
ບໍລິຫານ| ບໍລິຫານ %
ບໍລິເວນ| ບໍລິເວນ %
ບໍ່| ບໍ່ %
ບໍ່ຫ່ອນ| ບໍ່~ຫ່ອນ %
ປວກປຽກ| ປວກ~ປຽກ %
ປວງປະຊາ| ປວງ~ປະ!ຊາ %
ປວດ| ປວດ %
ປອງດອງ| ປອງດອງ %
ປອງຮ້າຍ| ປອງ~ຮ້າຍ %
ປອດໄພ| ປອດ~ໄພ %
ປອບປະໂລມ| ປອບ~~ປະໂລມ %
ປອບໂຍນ| ປອບ~~ໂຍນ %
ປອບໃຈ| ປອບ~ໃຈ %
ປອມ| ປອມ %
ປອມຕົວ| ປອມ~~ຕົວ %
ປອມແປງ| ປອມ~ແປງ %
ປະ| ປະ %
ປະກອບ| ປະກອບ %
ປະກາດ| ປະກາດ %
ປະການ| ປະການ %
ປະຈັກ| ປະຈັກ %
ປະຈັກແຈ້ງ| ປະຈັກ~ແຈ້ງ %
ປະຈານ| ປະຈານ %
ປະຈຳ| ປະຈຳ %
ປະຈົບປະແຈງ| ປະຈົບ~~~ປະແຈງ %
ປະຊາກອນ| ປະຊາ­ກອນ % soft-hyphen
ປະຊາຊາດ| ປະຊາ­ຊາດ % soft-hyphen
ປະຊາຊົນ| ປະຊາ­ຊົນ % soft-hyphen
ປະຊາທິປະໄຕ| ປະຊາ­ທິປະໄຕ % soft-hyphen 
ປະຊຸມ| ປະຊຸມ %
ປະດັບ| ປະດັບ %
ປະດາ| ປະດາ %
ປະດິດ| ປະດິດ %
ປະຕິຍານ| ປະຕິຍານ %
ປະຕິທິນ| ປະຕິທິນ %
ປະຕິບັດ| ປະຕິບັດ %
ປະຕິມາກອນ| ປະຕິມາກອນ %
ປະຕິມາກຳ| ປະຕິມາກຳ %
ປະຕິວັດ| ປະຕິວັດ %
ປະຕິຮູບ| ປະຕິ­ຮູບ % soft-hyphen
ປະຕິເສດ| ປະຕິເສດ %
ປະຕູ| ປະຕູ %
ປະຖິ້ມ| ປະຖິ້ມ %
ປະຖົມມະການ| ປະຖົມ­ມະການ % soft-hyphen
ປະຖົມເຫດ| ປະຖົມເຫດ %
ປະທະ| ປະທະ %
ປະທັບ| ປະທັບ %
ປະທານ| ປະທານ %
ປະທານາທິບໍດີ| ປະທາ­ນາ­ທິບໍດີ %  soft-hyphen
ປະທີບ| ປະທີບ %
ປະທຸ| ປະທຸ %
ປະທ້ວງ| ປະທ້ວງ %
ປະນາມ| ປະນາມ %
ປະນີປະນອມ| ປະນີ~ປະນອມ %
ປະພັນ| ປະພັນ %
ປະພຶດ| ປະພຶດ %
ປະມວນ| ປະມວນ %
ປະມານ| ປະມານ %
ປະມຸກ| ປະມຸກ %
ປະມົງ| ປະມົງ %
ປະຢັດ| ປະຢັດ %
ປະລະ| ປະລະ %
ປະລາໄຊ| ປະລາໄຊ %
ປະລິນຍາ| ປະລິນຍາ %
ປະສາດ| ປະສາດ %
ປະສານ| ປະສານ %
ປະສົງ| ປະສົງ %
ປະສົບ| ປະສົບ %
ປະສົບການ| ປະສົບການ %
ປະສົບພົບພໍ້| ປະສົບ~ພົບ~ພໍ້ %
ປະສົມ| ປະສົມ %
ປະຫວັດ| ປະຫວັດ %
ປະຫວັດສາດ| ປະຫວັດສາດ %
ປະຫັດ| ປະຫັດ %
ປະຫານ| ປະ­ຫານ % soft-hyphen
ປະຫານຊີວິດ| ປະຫານ~~ຊີວິດ %
ປະຫຼາດ| ປະຫຼາດ %
ປະຫຼາດໃຈ| ປະຫຼາດ~ໃຈ %
ປະເຊີນ| ປະເຊີນ %
ປະເດັນ| ປະເດັນ %
ປະເທດ| ປະເທດ %
ປະເທດຊາດ| ປະເທດ!!ຊາດ %
ປະເພດ| ປະເພດ %
ປະເພນີ| ປະເພນີ %
ປະເມີນ| ປະເມີນ %
ປະເວນີ| ປະເວນີ %
ປະເສີດ| ປະເສີດ %
ປະໂຣຫິດ| ປະໂຣຫິດ %
ປະໂຫຍກ| ປະໂຫຍກ %
ປະໂຫຍດ| ປະໂຫຍດ %
ປະໝາດ| ປະໝາດ %
ປັກ| ປັກ %
ປັດ| ປັດ %
ປັດຈຸບັນ| ປັດຈຸບັນ %
ປັດຊະຍາ| ປັດຊະຍາ %
ປັດຕະພີ| ປັດຕະພີ %
ປັດສະຄາ| ປັດສະຄາ % Bible term
ປັດເປົ່າ| ປັດ!ເປົ່າ %
ປັດໂມ| ປັດໂມ % Patmos (Bible name)
ປັນ| ປັນ %
ປັນຍາ| ປັນຍາ %
ປັນຍາຈານ| ປັນຍາຈານ %
ປັນຍາຊົນ| ປັນຍາຊົນ %
ປັບ| ປັບ %
ປັບປຸງ| ປັບ~ປຸງ %
ປັບປ່ຽນ| ປັບ~ປ່ຽນ %
ປັບໃໝ| ປັບ~~ໃໝ %
ປັ່ນ| ປັ່ນ %
ປັ່ນປ່ວນ| ປັ່ນ~~ປ່ວນ %
ປັ້ນ| ປັ້ນ %
ປາກ| ປາກ %
ປາກກາ| ປາກກາ %
ປາກຖືສິນ| ປາກ~ຖື~~ສິນ %
ປາກົດ| ປາກົດ %
ປາກົດການ| ປາກົດການ %
ປາຍ| ປາຍ %
ປາຍທາງ| ປາຍ~ທາງ %
ປາດ| ປາດ %
ປາດເປື່ອງ| ປາດ~~ເປື່ອງ %
ປາຖະກະຖາ| ປາຖະກະຖາ %
ປາຖະໜາ| ປາຖະໜາ %
ປານ| ປານ %
ປານີ| ປານີ %
ປານີດ| ປານີດ %
ປານໃດ| ປານ~ໃດ %
ປາບ| ປາບ %
ປາບປາມ| ປາບ~ປາມ %
ປາຣານ| ປາຣານ %
ປາຣີ| ປາຣີ % name
ປາສະຈາກ| ປາສະຈາກ %
ປາແລັດສະໄຕ| ປາແລັດ­ສະໄຕ %  Palestine (bible, geography), soft-hyphen
ປາໄສ| ປາໄສ %
ປິດ| ປິດ %
ປິດບັງ| ປິດ~ບັງ %
ປິດລ້ອມ| ປິດ~ລ້ອມ %
ປິດສະໜາ| ປິດສະໜາ %
ປິຕິຍິນດີ| ປິຕິຍິນດີ %
ປິນກຣິມ| ປິນກຣິມ % name
ປິວສະບັດ| ປິວສະບັດ %
ປິ່ງປັ່ງ| ປິ່ງປັ່ງ %
ປິ່ນປົວ| ປິ່ນ!!ປົວ %
ປີ| ປີ %
ປີກ| ປີກ %
ປີນ| ປີນ %
ປີລາດ| ປີລາດ % name
ປີສາດ| ປີສາດ %
ປີ້ນ| ປີ້ນ %
ປີ້ມ| ປີ້ມ %
ປຶກສາ| ປຶກສາ %
ປຶກສາຫາລື| ປຶກສາ~~ຫາລື %
ປຶກແຜ່ນ| ປຶກ~~ແຜ່ນ %
ປຶ້ມ| ປຶ້ມ %
ປຶ້ມທະບຽນ| ປຶ້ມ~~ທະບຽນ %
ປືນ| ປືນ %
ປຸກ| ປຸກ %
ປຸກຕູບ| ປຸກ!ຕູບ %
ປຸກຕູບຢູ່| ປຸກ!ຕູບ~ຢູ່ %
ປຸກປັ່ນ| ປຸກ~ປັ່ນ %
ປຸ້ນ| ປຸ້ນ %
ປູ| ປູ %
ປູກ| ປູກ %
ປູກປັ້ນ| ປູກ~ປັ້ນ %
ປູຣິຕັນ| ປູຣິຕັນ % name
ປູ່| ປູ່ %
ປູ່ຍ່າຕາຍາຍ| ປູ່~ຍ່າ~~ຕາ~ຍາຍ %
ປົກ| ປົກ %
ປົກກະຕິ| ປົກກະຕິ %
ປົກຄອງ| ປົກ~ຄອງ %
ປົກຄຸມ| ປົກຄຸມ %
ປົກຕຸ້ມ| ປົກ~ຕຸ້ມ %
ປົກປັກ| ປົກປັກ %
ປົກປິດ| ປົກປິດ %
ປົກປ້ອງ| ປົກປ້ອງ %
ປົດ| ປົດ %
ປົດປ່ອຍ| ປົດປ່ອຍ %
ປົດແອກ| ປົດ~ແອກ %
ປົນ| ປົນ %
ປົນເປ| ປົນ~ເປ %
ປົບໜີ| ປົບ~ໜີ %
ປົ່ງ| ປົ່ງ %
ປຽກ| ປຽກ %
ປຽບ| ປຽບ %
ປຽບທຽບ| ປຽບ~ທຽບ %
ປຽບປານ| ປຽບ~ປານ %
ປຽບເໝືອນ| ປຽບ~ເໝືອນ %
ປ່ວຍ| ປ່ວຍ %
ປ່ວຍໂຊ| ປ່ວຍ~ໂຊ %
ປ່ອງຢ້ຽມ| ປ່ອງ~ຢ້ຽມ %
ປ່ອຍ| ປ່ອຍ %
ປ່າ| ປ່າ %
ປ່າດົງ| ປ່າ~~ດົງ %
ປ່າວປະກາດ| ປ່າວ~~ປະກາດ %
ປ່າເຖື່ອນ| ປ່າ~ເຖື່ອນ %
ປ່າໄມ້| ປ່າ~~ໄມ້ %
ປ່ຽງ| ປ່ຽງ %
ປ່ຽນ| ປ່ຽນ %
ປ່ຽນແປງ| ປ່ຽນ~~ແປງ %
ປ່ຽມ| ປ່ຽມ %
ປ່ຽວ| ປ່ຽວ %
ປ້ອງກັນ| ປ້ອງ~ກັນ %
ປ້ອຍ| ປ້ອຍ %
ປ້ອຍດ່າ| ປ້ອຍ~ດ່າ %
ປ້ອມ| ປ້ອມ %
ປ້ອມຍາມ| ປ້ອມ~ຍາມ %
ປ້ອມປາການ| ປ້ອມ~~ປາການ %
ປ້າຍ| ປ້າຍ %
ປ້າຍສີ| ປ້າຍ~ສີ %
ປ້ຳ| ປ້ຳ %
ປ້ຳສູ້| ປ້ຳ~ສູ້ %
ປໍລະປັກ| ປໍລະປັກ %
ຜະນຶກ| ຜະນຶກ %
ຜະລິດ| ຜະລິດ %
ຜະຫຍອງ| ຜະຫຍອງ %
ຜະເດັດ| ຜະເດັດ %
ຜະເດັດການ| ຜະເດັດການ %
ຜະແນກ| ຜະແນກ %
ຜະໜັງ| ຜະໜັງ %
ຜະໜຶກ| ຜະໜຶກ %
ຜັກ| ຜັກ %
ຜັກດັນ| ຜັກ~ດັນ %
ຜັດ| ຜັດ %
ຜັນ| ຜັນ %
ຜາ| ຜາ %
ຜານ| ຜານ %
ຜາສາດ| ຜາສາດ %
ຜິດ| ຜິດ %
ຜິດຊອບ| ຜິດ~ຊອບ %
ຜິດຖຽງ| ຜິດ~ຖຽງ %
ຜິດບາບ| ຜິດ~ບາບ %
ຜິດພາດ| ຜິດ~ພາດ %
ຜິດພ້ຽນ| ຜິດ~ພ້ຽນ %
ຜິວ| ຜິວ %
ຜິວເຜີນ| ຜິວ~~ເຜີນ %
ຜີ| ຜີ %
ຜີມານ| ຜີ~ມານ %
ຜີສາງ| ຜີ~ສາງ %
ຜີສາງນາງໄມ້| ຜີ~~ສາງ~~ນາງ~ໄມ້ %
ຜີສາດ| ຜີສາດ %
ຜືນ| ຜືນ %
ຜຸດ| ຜຸດ %
ຜຸດຜ່ອງ| ຜຸດ~ຜ່ອງ %
ຜຸພັງ| ຜຸພັງ %
ຜູກ| ຜູກ %
ຜູ້| ຜູ້ %
ຜູ້ຄົນ| ຜູ້~ຄົນ %
ຜູ້ຊາຍ| ຜູ້~~ຊາຍ %
