# Thai Glossary — shared by every Thai project (PP, SC, SJ, MB, PK, ...)

<!-- Being built. A row enters this file only after the translator adjudicates it, chunk by chunk, from mining runs over th/MB and th/PP, whose published chapters (MB, PP 1–20) are the strong precedent; SC chapters supply the questions. Conventions follow lo/GC/04_assets/translation_profile/GC-glossary.txt: a row is silent until its Notes cell carries [CHECK] (enforce: report English present, Thai absent) or [FLAG] (report every occurrence); a bare Notes cell is reference only; '/' in the Thai cell means any listed option satisfies a [CHECK]. A Notes cell carries at most 15 words of prose, refs excluded, on one line. A Notes cell may name wordings that stand when found and are never proposed. -->

## 1. Theological and historical terms

| English | Thai | Notes |
| enemy, the; adversary, the; foe, the (Satan's titles) | ศัตรู / มารร้าย / พญามาร / ซาตาน | [CHECK] ศัตรู first, epithet may follow; มัน may replace the title; ปรปักษ์ glosses the name only. MB 115.1, PP 65.4, PP 39.2 |
| evil one, the; wicked one, the (Satan) | มารร้าย / พญามาร / ซาตาน | [CHECK] มารร้าย is THSV, TH1971 and TNCV at 1 ยอห์น 5:19; พญามาร is TKJV's. MB 68.3, PP 331.2, SC 64.1 |
| deceiver, the; great deceiver, the (Satan) | ผู้หลอกลวง / จอมหลอกลวง / จอมล่อลวง / ซาตาน | [CHECK] จอม carries "great"; the versions write ผู้ล่อลวง at วิวรณ์ 12:9. PP 42.3, PP 53.5, PP 264.2 |
| impenitent, the; impenitence | ไม่สำนึกผิด / ไม่กลับใจ / ไม่ยอมกลับใจ | [CHECK] Always a negated verb; คนใจแข็ง stands where the sentence is about hardness. SC 32.1, PP 140.1, PP 99.3, MB 105.2 |
| procrastination, delay (in coming to Christ) | ผัดวันประกันพรุ่ง / ผัดผ่อน / ชักช้า / รีรอ | Putting off surrender; ordinary delay in a narrative is free. SC 32.2, PP 517.2 |
| image of God (in man, at creation) | พระฉายาของพระเจ้า | [CHECK] ปฐมกาล 1:27. MB 56.3, PP 45.2 |
| image of Christ, likeness of Christ (the believer renewed) | พระลักษณะของพระคริสต์ / พระลักษณะของพระเยซู / พระลักษณะของพระองค์ | [CHECK] See character; โรม 8:29 THSV พระฉายา stands inside its quotation. SC 33.3, SC 28.3, PP 88.3 |
| filthy rags (Isaiah 64:6) | ผ้าขี้ริ้ว / เสื้อผ้าสกปรก | TNCV ผ้าขี้ริ้วโสโครก, THSV เสื้อผ้าสกปรก; quotations follow their version. SC 28.3, MB 54.1 |
| Spirit of grace | พระวิญญาณแห่งพระคุณ | [CHECK] THSV and TNCV at ฮีบรู 10:29; TH1971 พระวิญญาณผู้ทรงพระคุณ. SC 33.3, PP 635.4 |
| confession, confess (of sin) | สารภาพ | [CHECK] The verb; object บาป, ความผิด or ความผิดบาป; การ prefix makes the noun. MB 84.4, MB 58.3 |
| High Priest (Christ) | มหาปุโรหิต | [CHECK] Names Aaron and Caiaphas too; "great High Priest" adds ผู้ยิ่งใหญ่ standing alone, cut in apposition. PP 351.1, PP 426.1, SC 37.3 |
| publican | คนเก็บภาษี | [CHECK] The Gospel tax collector; พวก may precede. MB 7.2, MB 129.2 |
| father of lies | บิดาแห่งการมุสา | [CHECK] Satan's title, John 8:44. PP 58.1 |
| self-justification, excuse (for sin) | แก้ตัว / คำแก้ตัว / ข้อแก้ตัว | [CHECK] แก้ตัว the verb; คำแก้ตัว and ข้อแก้ตัว the nouns. PP 57.5, PP 58.1, PP 153.3 |
| Holy Spirit | พระวิญญาณบริสุทธิ์ | [CHECK] |
| ingratitude, ungrateful | เนรคุณ / อกตัญญู / ไม่รู้คุณ / ไม่สำนึกในพระคุณ | [CHECK] Person คนเนรคุณ, คนอกตัญญู; toward God ไม่สำนึกในพระคุณ. MB 9.2, PP 171.2, PP 318.2, PP 36.3 |
| forbidden fruit, forbidden tree (Genesis 3) | ผลไม้ต้องห้าม / ผลไม้ที่ต้องห้าม / ผลไม้ที่พระเจ้าทรงห้าม / ผลไม้หวงห้าม / ต้นไม้หวงห้าม | [CHECK] Epithet or description; ที่ optional before ต้องห้าม; ต้นไม้ที่พระเจ้าทรงหวงห้าม stands. ปฐมกาล 3:11, PP 49.1, PP 55.3, PP 378.2, SC 40.2 |
| Ruler of the universe, Sovereign of the universe, Governor of the universe | พระเจ้าผู้ทรงครอบครองจักรวาล | [CHECK] Never ปกครอง, the human-government word; "great Ruler" may take พระมหากษัตริย์. MB 74.1, PP 34.1, SC 38.2 |
| Ruler of all, Supreme Ruler | ผู้ครอบครองสูงสุดเหนือทุกสิ่ง / ผู้ทรงครอบครองเหนือทุกสิ่ง | [CHECK] Psalm 105:21 "ruler of all his substance" is Joseph, outside this row. PP 48.3, PP 123.2, MB 120.1 |
| King of the universe | พระมหากษัตริย์แห่งจักรวาล / พระมหากษัตริย์ผู้ครอบครองจักรวาล | [CHECK] "Great King" takes the second form. PP 36.2, PP 63.3, MB 107.2 |
| penance, do penance | บำเพ็ญทุกรกิริยา / ทรมานตนเอง / ลงโทษตัวเอง | [CHECK] Painful self-punishment to earn pardon; โคโลสี 2:23 ทรมานกาย; ทรมานตัวเอง stands; never สารภาพบาป. MB 87.3, SC 37.2 |
| Mediator (Christ) | คนกลาง / ผู้ไกล่เกลี่ย | [CHECK] Christ between God and man; ผู้ไกล่เกลี่ย is the GC editions' word. 1 ทิโมธี 2:5, PP 201.2, SC 37.3, GC 55.1 |
| moral perceptions | ความสำนึกผิดชอบชั่วดี | [CHECK] The inner sense of right and wrong. PP 361.2, SC 40.1 |
| humble the heart, humble the soul, humiliation (the penitent before God) | ถ่อมใจลง / ถ่อมตัวลง / นอบน้อมถ่อมตน / การถ่อมใจ | [CHECK] The penitent's own act; ถ่อมใจลงต่อพระเจ้า is ยากอบ 4:10; อับอาย is shame, another sense. MB 11.2, PP 196.1, SC 37.4 |
| broken heart, brokenness of spirit, contrite spirit, brokenhearted | ใจแตกสลาย / ใจที่แตกสลาย / จิตใจที่แตกสลาย / สำนึกผิด / ชอกช้ำ | [CHECK] สดุดี 51:17 THSV pairs แตกสลาย with สำนึกผิด; ชอกช้ำ is TNCV, TKJV; ท้อแท้ only in quotations. PP 196.3, SC 26.1, SC 41.2 |
| saints (God's people) | ธรรมิกชน / ประชากรของพระเจ้า / วิสุทธิชน / ผู้บริสุทธิ์ | [CHECK] Prose ธรรมิกชน as GC and THSV; quotations follow their version, recasts stand. SC 41.1, MB 87.3, PP 246.1 |
| saints (Rome's canonized) | นักบุญ | [CHECK] Invoked, adored, mediating saints of Rome; never ธรรมิกชน. GC 43.1, GC 568.3 |
| pilgrimage (journey to a shrine for merit) | เดินทางไกลเพื่อแสวงบุญ / แสวงบุญ | [CHECK] Merit-seeking journey; ผู้แสวงบุญ for the traveller. SC 37.2; GC 55.3, GC 175.1 |
| pilgrim, pilgrimage (sojourner: "strangers and pilgrims", life's journey) | คนแปลกถิ่น / (free choice) | [CHECK] Never แสวงบุญ; Bible wording in quotations, recast elsewhere. PP 81.1, PP 234.4 |
| pilgrims (to the feasts at Jerusalem) | ฉลองเทศกาล / เดินทางไปร่วมฉลองเทศกาล / คนที่เดินทางมานมัสการ | [CHECK] Feast-goers at Jerusalem, never แสวงบุญ; เดินทาง takes ไป, มา or เพื่อ as the sentence needs. PP 541.1, PP 539.4, GC 17.2 |
| ignorance, ignorant, ignorantly | ความไม่รู้ / ไม่รู้ / ไม่รู้จัก / รู้เท่าไม่ถึงการณ์ / ความเขลา / ขาดความรู้ / ความโง่เขลา | [CHECK] State ความไม่รู้; ignorant of ไม่รู้, ไม่รู้จัก; unwitting รู้เท่าไม่ถึงการณ์; ความโง่เขลา stands where found, never proposed. SC 45.1, SC 70.2, MB 54.2, PP 130.2 |
| will (human faculty) | การตัดสินใจ / เจตจำนง / ตามใจตัวเอง / ฝืนใจ | [CHECK] Noun การตัดสินใจ; เจตจำนง where the faculty itself must be unmistakable; verb idioms ตามใจตัวเอง, ฝืนใจ stand. MB 61.1, SC 47.1 |
| will of God, His will | น้ำพระทัย / พระประสงค์ / พระทัย | [CHECK] น้ำพระทัย where obeyed or submitted to; พระประสงค์ where His purpose; พระทัย in quotations. โรม 12:2 TH1971, MB 109.1, SC 43.4 |
| consecration, consecrate, dedicate | การอุทิศตน / อุทิศตน / การอุทิศ / ถวายตัว / ถวายตน / มอบถวาย | Title SC05 การอุทิศตน; ถวายตัว, ถวายตน for giving oneself to God. SC 43.1, PP 90.2, PP 188.1 |
| Prince of Peace (Isaiah 9:6) | องค์สันติราช | [CHECK] THSV, TH1971, TNCV, TKJV อิสยาห์ 9:6; never พระราชาแห่งสันติสุข. PP 34.1, PP 755.4 |
| affections (of the heart) | ความปรารถนา / ความรักใคร่ / ความปรารถนาในใจ | The heart's attachments; ความหลงใหลฝ่ายเนื้อหนัง stands where found, never proposed. SC 47.1, SC 29.1 |
| automaton, mere machine | หุ่นยนต์ | PP 49.1, PP 331.4 |
| mammon | เงินทอง | Never transliterated. PP 87.2 |
| self (warfare against self, self forgotten, the ego) | ตนเอง / ตัวเอง / อัตตา / ตัวตน | Free choice; อัตตา the ego. SC 43.3, MB 16.1, SC 71.2 |
| ropes of sand | เชือกที่ทำด้วยทราย | Figure; translation memory. SC 47.1 |
| bread of life | อาหารแห่งชีวิต | THSV ยอห์น 6:35. MB 18.3 |
| heart-longing, longing of the heart | ความปรารถนาอันลึกซึ้ง / ความปรารถนาในใจ | ความหิวกระหาย only for hunger and thirst figures. SC 46.3, PP 86.4 |
| Prince of heaven | เจ้าชายแห่งสวรรค์ / พระราชาแห่งสวรรค์ | Christ as the King's Son; PP 161.1 renders it as พระเจ้า without a title. SC 45.2, SJ 17.2 |
| Wonderful Counsellor (Isaiah 9:6) | ที่ปรึกษามหัศจรรย์ | THSV, TH1971, TNCV; TKJV splits ผู้ที่มหัศจรรย์ ที่ปรึกษา. |
| mighty God (Isaiah 9:6) | พระเจ้าผู้ทรงมหิทธิฤทธิ์ | THSV, TH1971, TKJV; TNCV พระเจ้าผู้ทรงฤทธิ์, TH1940 พระเจ้าทรงอานุภาพ. |
| everlasting Father (Isaiah 9:6) | พระบิดานิรันดร์ | THSV, TH1971, TNCV, TKJV; TH1940 พระบิดาองค์ถาวร. |
| self-love | รักตนเอง / รักตัวเอง | MB 55.2, MB 64.2 |
| self-will | ตามอำเภอใจ / ทำตามใจตัวเอง | MB 138.3, PP 48.4 |
| self-seeking | เห็นแก่ตนเอง / เห็นแก่ประโยชน์ส่วนตัว | PP 319.2, PP 481.4 |
| principalities and powers | เทพผู้ครองและศักดิเทพ / เทพผู้ครองและเทพผู้ทรงอำนาจ | TH1971 โคโลสี 2:15; TNCV เอเฟซัส 6:12; THSV writes พวกภูตผีที่ครอบครองและพวกภูตผีที่มีอำนาจ. PP 34.2, SC 48.1 |

## 2. Proper nouns

| English | Thai | Notes |
|---|---|---|
| Europe | ยุโรป | SC 116.3 |
| Satan | ซาตาน | SC 10.3 |
| Gethsemane | เกทเสมนี / สวนเกทเสมนี | [CHECK] SC 13.1, PP 475.3 |
| Calvary | ไม้กางเขนแห่งคาลวารี / เนินเขาคาลวารี / ภูเขาคาลวารี / ไม้กางเขน | [CHECK] Means nothing to a new reader alone; write it with the cross or the hill. PP 69.3, MB 43.2 |
| Pharisee, Pharisees | ฟาริสี / พวกฟาริสี | [CHECK] THSV's spelling; พวก for the group, bare for one man or for Pharisaism; GC the same. MB 5.1, MB 6.2, SC 30.2 |
| Pentecost, Day of Pentecost | วันเพ็นเทคอสต์ / เทศกาลเพ็นเทคอสต์ | [CHECK] THSV กิจการ 2:1 เทศกาลเพ็นเทคอสต์. SC 23.1, PP 381.4 |
| Adventist, Adventists | แอ๊ดเวนตีส / ชาวแอ๊ดเวนตีส | [CHECK] The Thailand Adventist Mission's spelling, adventist.or.th; GC writes ชาวแอ๊ดเวนตีส |
| Seventh-day Adventist | เซเว่นธ์เดย์แอ๊ดเวนตีส | [CHECK] The Mission's own name, มูลนิธิคริสตจักรเซเว่นธ์เดย์แอ๊ดเวนตีสแห่งประเทศไทย, adventist.or.th |

## 3. Spelling

| Word | Correct | Incorrect | Notes |
|---|---|---|---|
| ทูตสวรรค์ (angel) | ทูตสวรรค์ | ทูตสรรค์ | PP 40.3 |
| ปรานี (kind, merciful) | ปรานี | ปราณี | SC 10.3 |
| เพ็นเทคอสต์ (Pentecost) | เพ็นเทคอสต์ | เพ็นเทคอส, เพนเทคอสต์ | PP 540.1, SC 74.1 |
| แอ๊ดเวนตีส (Adventist) | แอ๊ดเวนตีส | แอ็ดเวนตีส | ไม้ตรี over อ, never ไม้ไต่คู้; adventist.or.th; the wrong form once in the GC alt edition |
| ทุกรกิริยา (penance, austerities) | ทุกรกิริยา | ทุกรกริยา, ทุกขกิริยา | Pali ทุกฺกรกิริยา; RID 2554. MB 87.3 |
